id,Tale,Title,Author,Date,Format,Language,FirstPublicationLocation,Notes
446,Sleeping Beauty,ultrices erat tortor sollicitudin,Issy Bog,2003,Novel,English,Greece,curabitur convallis duis consequat dui nec nisi volutpat eleifend
447,Seven Swabians,ac nulla sed vel enim,Spense Downse,1999,Novel,English,Nepal,sed sagittis nam congue
448,The Teeny Tiny Woman,non pretium quis lectus suspendisse,Rory Lemmens,1984,Short story,English,Greece,faucibus orci luctus et
449,The Lion and the Mouse,pellentesque eget nunc donec,Cathy Leyborne,1994,Novel,English,Jamaica,morbi quis tortor id
450,Cinderella,augue a suscipit nulla elit ac,Laryssa Eaves,1995,Short story,English,Thailand,
451,Stone Soup,pharetra magna,Aileen Wadlow,2011,Short story,English,Singapore,sem mauris laoreet ut rhoncus aliquet
452,The Fisherman and his Wife,bibendum morbi,Sydelle Rettie,2000,Novel,English,Japan,iaculis congue vivamus
453,Gingerbread Man,eu interdum eu tincidunt in leo,Rosabella Brizland,2004,Short story,English,Grenada,
454,Brer Rabbit,nam congue,Joel Eye,2011,Novel,English,China,pellentesque eget nunc
455,The Fisherman and his Wife,est quam pharetra magna ac,Celestina Kupker,2006,Novel,English,Hungary,
456,Seven Swabians,nibh in hac habitasse,Noelyn Yakebowitch,1995,Short story,English,Iceland,ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla
457,Gingerbread Man,ligula nec sem duis aliquam convallis,Darbee Gunson,2003,Short story,English,France,
458,Fractured Fairy Tales,dapibus at diam nam tristique tortor,Brantley Sygroves,2000,Short story,English,Estonia,sagittis dui vel nisl duis ac nibh fusce lacus purus
459,Aesops Fables,risus semper porta volutpat quam,Nora Lightbowne,2009,Novel,English,Barbados,dolor sit
460,Puss in Boots,non mauris morbi,Coop Latan,2011,Novel,English,Dominica,ut massa quis
461,Fractured Fairy Tales,magna bibendum,Brooke Roderick,1995,Novel,English,Russia,lectus in est risus
462,Hans in Luck,pede ullamcorper augue a,Nada Polet,2007,Short story,English,Jamaica,
463,Henny Penny,nec nisi volutpat eleifend,Adria Angrick,1999,Novel,English,Nepal,
464,Chicken Little,lobortis est phasellus sit amet erat,Arabelle Stayte,1997,Novel,English,Serbia,magna vestibulum
465,Stone Soup,ac consequat,Peyton Copland,2009,Short story,English,Greece,in faucibus orci luctus et
466,Henny Penny,diam vitae quam suspendisse,Curr Deniske,1997,Short story,English,United States,convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor
467,Stone Soup,montes nascetur ridiculus mus vivamus,Andros Troop,2002,Novel,English,Germany,
468,Aesops Fables,in consequat ut nulla sed accumsan,Jamesy Henworth,2004,Short story,English,Turkey,nulla sed vel enim sit amet
469,The Princess and the Pea,interdum eu tincidunt in,Claudetta Geratt,1987,Novel,English,Turkey,
470,Brer Rabbit,eros suspendisse accumsan tortor quis,Pietrek Bram,1994,Novel,English,Norway,in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit
471,The Grasshopper and the Ants,eu massa,Corrianne Sudddard,2004,Novel,English,Germany,ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat
472,The Grasshopper and the Ants,hac habitasse,Erny Dowzell,2000,Novel,English,Russia,mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida
473,Little Red Riding Hood,nunc purus,Llewellyn Sussems,2009,Short story,English,Hungary,praesent blandit nam nulla integer pede justo
474,The Teeny Tiny Woman,ut mauris eget,Joe Stoeck,2008,Short story,English,Iceland,
475,Goldilocks and the Three Bears,accumsan odio,Fifine Caplan,2011,Novel,English,Portugal,ultrices mattis odio donec
476,Trickster Tales,mauris viverra diam vitae,Alford Sinisbury,2013,Short story,English,Nepal,porttitor lacus at turpis donec posuere metus
477,The Bremen Town Musicians,non velit nec nisi vulputate nonummy,Onfre Frowen,1993,Short story,English,Singapore,justo etiam pretium iaculis justo in hac habitasse platea
478,Brer Rabbit,mattis odio donec,Sherlocke Ingree,1996,Short story,English,Portugal,lacinia sapien quis libero nullam sit amet turpis elementum ligula
479,Hansel and Gretel,sapien quis libero nullam sit,Forrest Shatford,1993,Novel,English,Portugal,
480,Hans in Luck,curae mauris viverra diam vitae quam,Shep Clethro,2008,Short story,English,Japan,
481,The Grasshopper and the Ants,in faucibus orci,Avery MacKenzie,2001,Novel,English,Sweden,ut nunc
482,The Ugly Duckling,aliquet pulvinar,Channa Kayser,1992,Short story,English,Barbados,
483,Little Red Riding Hood,vivamus vestibulum sagittis sapien cum,Murray Salaman,2002,Short story,English,United States,in consequat ut nulla
484,The Lion and the Mouse,eros viverra eget congue eget semper,Kimball Ferronel,1986,Novel,English,Barbados,lacus at turpis donec posuere metus vitae ipsum aliquam
485,The Princess and the Pea,nulla elit,Vachel Endicott,2008,Short story,English,Malaysia,ac tellus semper interdum mauris ullamcorper purus sit amet
486,Gingerbread Man,tellus semper interdum mauris,Giavani Brehat,1997,Novel,English,Indonesia,
487,Snow White,velit vivamus,Gareth Mulheron,2012,Short story,English,United States,ante ipsum primis
488,The Ugly Duckling,maecenas tincidunt,Dacie Manning,2000,Short story,English,Malaysia,sed vestibulum sit
489,Henny Penny,vulputate elementum,Larisa Grzesiewicz,2002,Short story,English,Romania,vel est donec odio justo
490,Rapunzel,sed tristique,Melessa Truesdale,2008,Novel,English,Jamaica,nulla suscipit
491,Hans in Luck,odio condimentum id luctus nec,Raoul Land,2009,Novel,English,Thailand,vestibulum ante ipsum primis in
492,Tom Thumb,risus auctor sed,Gilburt Beech,2009,Novel,English,Hungary,mus etiam vel
493,Hans in Luck,rutrum ac lobortis vel,Delphine Dallosso,2000,Novel,English,United States,donec vitae nisi nam ultrices
494,Seven Swabians,massa donec dapibus duis at velit,Janeva Shapland,1999,Short story,English,Singapore,ultrices posuere cubilia curae donec
495,The Little Red Hen,porttitor pede justo eu massa,Cinda Klauber,1993,Novel,English,Italy,orci vehicula condimentum
496,Seven Swabians,et magnis dis parturient,Ange Gheeorghie,2007,Novel,English,United Kingdom,nisl nunc rhoncus dui vel sem
497,Cinderella,odio in hac,Torrence Whiffin,1987,Novel,English,Iceland,curae donec pharetra magna vestibulum aliquet
498,Rapunzel,pellentesque quisque porta volutpat erat quisque,Ali Mattiussi,2003,Short story,English,Spain,vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien
499,Stone Soup,dui luctus rutrum nulla tellus in,Pennie Ketteridge,2012,Short story,English,Greece,natoque penatibus et magnis
500,Snow White,adipiscing elit,Marty Buscombe,1986,Novel,English,Dominica,
501,Sleeping Beauty,felis sed interdum venenatis,Olivette Palffrey,1985,Novel,English,Hungary,nisl ut volutpat sapien arcu sed augue aliquam erat volutpat
502,Aesops Fables,rhoncus mauris enim leo rhoncus,Kristin Alywin,1992,Short story,English,India,hac habitasse
503,The Princess and the Pea,praesent lectus vestibulum quam sapien varius,Ivor Hassen,2008,Novel,English,Japan,
504,Hans in Luck,nam congue risus,Emmy Poll,1994,Short story,English,Romania,volutpat dui maecenas
505,Goldilocks and the Three Bears,nullam porttitor lacus,Melva Torres,2010,Novel,English,Greece,congue eget semper rutrum
506,Brer Rabbit,suscipit ligula in lacus curabitur at,Kirstin Gresly,2010,Novel,English,Iceland,velit vivamus vel nulla eget eros elementum
507,The Little Red Hen,vivamus tortor,Nettie Silverwood,2006,Novel,English,Malaysia,ut suscipit a feugiat et eros vestibulum ac est
508,The Town Mouse and the Country Mouse,sit amet eros suspendisse accumsan,Kailey Toe,1993,Novel,English,Turkey,eget vulputate ut ultrices vel augue vestibulum
509,Gingerbread Man,nec nisi,Tatiana Flux,1992,Novel,English,Iceland,justo sollicitudin ut suscipit a feugiat
510,Fractured Fairy Tales,sem sed,Latia Menear,2008,Novel,English,Nepal,augue quam sollicitudin vitae consectetuer eget rutrum at
511,Brer Rabbit,ac est lacinia nisi,Sarine Grizard,1997,Short story,English,Malaysia,sit amet lobortis sapien sapien non mi integer ac neque duis
512,Brer Rabbit,elementum nullam varius nulla facilisi cras,Doralin Dibben,1996,Novel,English,Nepal,erat vestibulum sed magna at nunc commodo placerat
513,Belling the Cat,elit proin interdum mauris non,Carolina Jamrowicz,2003,Novel,English,Grenada,molestie sed justo pellentesque viverra pede ac diam cras pellentesque
514,Seven Swabians,blandit nam,Harbert Daddow,2004,Short story,English,India,nulla quisque arcu libero rutrum ac lobortis vel dapibus at diam
515,The Little Red Hen,erat quisque erat eros viverra,Franzen Chatenier,1995,Novel,English,Italy,dolor vel est donec odio justo sollicitudin ut suscipit a
516,Fractured Fairy Tales,gravida sem praesent,Lola Entwhistle,1993,Novel,English,Italy,
517,Belling the Cat,mattis pulvinar nulla pede ullamcorper augue,Valerie Talks,1998,Short story,English,Hungary,
518,Snow White,pede morbi porttitor lorem,Sarette Rowbury,1973,Novel,English,United States,
519,The Little Red Hen,tortor duis mattis egestas,Alvis Chrispin,2001,Novel,English,Vietnam,vestibulum sed magna at nunc commodo placerat praesent
520,Belling the Cat,vel dapibus at diam,Vincenz Pamment,1997,Novel,English,Singapore,venenatis turpis enim blandit mi in porttitor pede justo
521,The Teeny Tiny Woman,in sapien iaculis congue,Cherey Cod,2012,Short story,English,France,ac diam cras pellentesque
522,Snow White,imperdiet sapien urna pretium nisl ut,Gorden Hitter,1988,Novel,English,Jamaica,
523,Stone Soup,consequat metus sapien,Zola Hunnywell,1957,Novel,English,France,donec vitae nisi nam ultrices libero non mattis pulvinar nulla
524,Puss in Boots,rutrum neque aenean auctor gravida sem,Elianora Rucklidge,2012,Novel,English,Serbia,at feugiat non pretium quis lectus suspendisse
525,Henny Penny,nunc donec,Christophorus Southers,1988,Novel,English,Iceland,tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi
526,Hans in Luck,commodo placerat praesent,Marj Falco,2009,Short story,English,Greece,libero nullam sit amet turpis elementum ligula
527,Trickster Tales,lacus at velit vivamus vel,Veronike Christie,1999,Novel,English,Russia,ut dolor morbi vel lectus
528,The Lion and the Mouse,cras in,Ashlen Tregiddo,1991,Novel,English,United States,platea dictumst maecenas ut massa quis
529,The Town Mouse and the Country Mouse,at diam nam,Ebonee Hallad,2004,Short story,English,Italy,platea dictumst
530,Cinderella,justo in blandit,Nollie Ankrett,1997,Novel,English,United States,neque duis bibendum morbi
531,Tom Thumb,viverra diam,Gabriel O'Siaghail,1992,Short story,English,Mexico,vel augue vestibulum rutrum rutrum neque
532,Tom Thumb,mauris eget massa tempor,Manon Squier,1996,Short story,English,Grenada,velit eu est congue elementum in hac habitasse platea dictumst morbi vestibulum
533,Seven Swabians,libero nullam sit amet turpis elementum,Novelia Weddeburn,1996,Short story,English,Spain,convallis tortor risus dapibus augue
534,Fractured Fairy Tales,vitae nisl aenean lectus,Dalis Mardall,1996,Short story,English,United States,
535,Jack and the Beanstalk,quis justo,Nadya Aizik,2007,Short story,English,Romania,sit amet eleifend pede libero quis orci nullam
536,Stone Soup,vulputate luctus cum,Danni Selcraig,1992,Short story,English,Russia,eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi
537,Snow White,venenatis turpis enim blandit,Hillie Nuth,1994,Short story,English,Malaysia,
538,The Town Mouse and the Country Mouse,velit donec,Kareem Houltham,1994,Novel,English,Haiti,massa id nisl venenatis lacinia aenean sit amet
539,Little Red Riding Hood,nibh fusce lacus purus,Kerby Westoll,1995,Short story,English,United States,elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis
540,Stone Soup,nulla pede ullamcorper augue a,Burke D'eye,2004,Short story,English,India,et magnis dis parturient montes nascetur ridiculus mus etiam
541,Hansel and Gretel,morbi vel lectus in,Annalise Losselyong,1997,Short story,English,Greece,
542,Ghost Stories,amet eros suspendisse accumsan tortor,Dennis Wickwar,2001,Novel,English,Romania,nulla tempus vivamus in felis
543,Trickster Tales,nulla elit ac nulla sed vel,Natalie Kienl,1992,Short story,English,Spain,augue vestibulum ante ipsum primis in faucibus orci
544,Ghost Stories,nulla sed accumsan felis ut at,Stanley Cardenoza,2012,Novel,English,United States,turpis eget elit sodales scelerisque mauris sit amet
545,The Fisherman and his Wife,pellentesque viverra pede ac,Sinclair Hawes,1997,Short story,English,Jamaica,
546,Stone Soup,fusce consequat,Audre Gatiss,2006,Novel,English,Portugal,
547,The Lion and the Mouse,felis ut at dolor quis odio,Orsola Lazer,1984,Novel,English,Indonesia,vestibulum aliquet ultrices erat
548,The Ugly Duckling,condimentum id luctus nec molestie sed,Ree Lockier,2001,Novel,English,Turkey,justo eu massa donec
549,Chicken Little,in faucibus orci luctus et ultrices,Dyanna Chalmers,1970,Short story,English,Germany,et magnis dis parturient montes
550,The Fisherman and his Wife,nibh in hac habitasse platea dictumst,Zita Cowap,2001,Novel,English,Barbados,lorem quisque ut erat
551,The Grasshopper and the Ants,phasellus sit amet erat nulla,Gill Easdon,2003,Novel,English,Indonesia,amet sem fusce consequat nulla nisl nunc nisl duis
552,The Teeny Tiny Woman,amet nulla quisque arcu libero rutrum,Emanuele Hackford,2007,Short story,English,China,lorem id ligula suspendisse ornare consequat lectus in est risus auctor sed
553,Trickster Tales,pede justo eu,Allistir Yong,1995,Novel,English,Turkey,rutrum ac lobortis vel dapibus at diam nam
554,Cinderella,libero nam,Elisabetta Reaman,1992,Novel,English,Iceland,lectus in est risus auctor sed tristique
555,The Fisherman and his Wife,porttitor id,Baily Wildman,1970,Novel,English,Barbados,nisl aenean lectus pellentesque eget nunc donec quis
556,Stone Soup,et magnis,Bearnard Thomerson,2013,Novel,English,Singapore,magna vestibulum aliquet ultrices erat tortor sollicitudin
557,Stone Soup,leo pellentesque ultrices mattis odio donec,Padget Signorelli,2010,Novel,English,China,amet nulla quisque arcu libero rutrum ac lobortis vel dapibus
558,Sleeping Beauty,convallis tortor risus,Harlin Manston,2007,Short story,English,Barbados,eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor
559,Snow White,eleifend quam a odio,Ronnie Withringten,1994,Short story,English,Malaysia,
560,The Bremen Town Musicians,tincidunt ante,Kalvin Lysaght,2012,Novel,English,Haiti,
561,The Little Red Hen,maecenas rhoncus aliquam lacus,Jonathan Kubat,1992,Novel,English,Turkey,sagittis sapien cum sociis natoque penatibus et
562,Hansel and Gretel,faucibus orci luctus et ultrices,Cheslie Scollick,1992,Short story,English,Nepal,curae nulla dapibus dolor vel
563,Rapunzel,sapien quis,Banky Backs,1997,Novel,English,Vietnam,quis justo maecenas rhoncus aliquam lacus morbi
564,Jack and the Beanstalk,vestibulum velit,Bourke Kik,1988,Short story,English,Serbia,mi pede malesuada in imperdiet et commodo vulputate justo
565,Snow White,posuere nonummy,Kurt Senn,1995,Novel,English,Iceland,justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia
566,The Princess and the Pea,odio porttitor id consequat in consequat,Bella Beacham,1988,Short story,English,Thailand,leo odio condimentum id luctus nec
567,The Fox and the Grapes,amet eleifend pede,Xenos Weson,2012,Short story,English,Norway,
568,The Ugly Duckling,mauris laoreet,Roselia Maharg,1998,Novel,English,Germany,sapien iaculis
569,The Teeny Tiny Woman,sit amet,Brien Cronshaw,1993,Short story,English,Romania,justo pellentesque viverra pede ac diam cras pellentesque volutpat dui
570,The Fisherman and his Wife,in felis eu sapien cursus vestibulum,Dania Buntine,1984,Novel,English,Grenada,maecenas ut massa quis augue luctus tincidunt nulla mollis
571,Snow White,blandit non interdum,Davidde Gillis,2011,Novel,English,Grenada,dictumst etiam faucibus cursus urna
572,Cinderella,non mattis pulvinar nulla,Edgar Trembey,2005,Novel,English,Turkey,eleifend donec ut dolor morbi vel lectus
573,Fractured Fairy Tales,non velit nec nisi vulputate nonummy,Obediah Maisey,1994,Short story,English,Norway,pulvinar nulla pede ullamcorper augue a suscipit nulla elit
574,Snow White,quis justo,Erroll Gianullo,2007,Novel,English,Mexico,libero rutrum ac lobortis vel dapibus at diam nam
575,Fractured Fairy Tales,ultrices enim lorem ipsum dolor,Justina Cranton,2004,Short story,English,Thailand,mus vivamus vestibulum sagittis sapien cum
576,Tom Thumb,fermentum justo nec condimentum,Mateo Getley,2005,Novel,English,Italy,nulla dapibus
577,Hans in Luck,congue elementum in,Kathryne Pichan,2004,Short story,English,Italy,auctor sed tristique in tempus
578,Goldilocks and the Three Bears,cubilia curae nulla dapibus dolor vel,Jacky Sammes,1984,Novel,English,Serbia,pede malesuada in imperdiet et
579,Snow White,vivamus metus arcu adipiscing molestie hendrerit,Parrnell Coarser,1999,Short story,English,Dominica,habitasse platea dictumst
580,Brer Rabbit,nunc nisl duis bibendum,Katleen Edgin,2013,Novel,English,United States,
581,The Ugly Duckling,nam nulla integer pede,Kingsley Luker,1993,Short story,English,United States,ut massa quis augue luctus tincidunt nulla mollis molestie
582,Stone Soup,morbi odio,Cullan Kays,2013,Short story,English,Dominica,duis mattis egestas metus aenean fermentum
583,Fractured Fairy Tales,dictumst maecenas ut massa quis,Gates Whitmarsh,2006,Short story,English,Barbados,
584,The Little Red Hen,posuere cubilia curae mauris viverra diam,Ashlee Dainton,2012,Novel,English,Malaysia,vel augue vestibulum ante ipsum primis
585,The Lion and the Mouse,sem praesent id massa,Merci Crampin,2011,Short story,English,Jamaica,odio odio elementum eu
586,Hans in Luck,praesent lectus vestibulum quam sapien,Waylon Kerfoot,2010,Short story,English,Portugal,erat volutpat in congue etiam justo etiam pretium iaculis justo in
587,Trickster Tales,suspendisse potenti,Trix St Quenin,1997,Short story,English,Thailand,pede ullamcorper augue a
588,Seven Swabians,aenean auctor gravida sem praesent id,Kristan Learmont,2005,Novel,English,Serbia,orci pede venenatis
589,Sleeping Beauty,consequat nulla nisl nunc nisl duis,Kristofor Summerson,2009,Short story,English,Singapore,nunc rhoncus dui vel sem sed sagittis nam
590,Trickster Tales,ultrices posuere,Beulah Jasper,1993,Short story,English,Barbados,odio elementum eu interdum eu tincidunt in
591,The Town Mouse and the Country Mouse,vitae nisi nam ultrices libero,Lily Asple,1994,Short story,English,United States,quis turpis eget elit sodales
592,Jack and the Beanstalk,quis augue luctus,Chrissy Cruikshank,1994,Short story,English,Hungary,erat curabitur gravida
593,The Ugly Duckling,tempus vivamus in felis,Samara Cavill,2012,Short story,English,Singapore,pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate
594,Henny Penny,fusce consequat nulla nisl nunc nisl,Kerk Kells,1987,Short story,English,Greece,
595,Sleeping Beauty,odio justo sollicitudin,Jakob Crebbin,2000,Novel,English,Nepal,quam suspendisse potenti
596,Aesops Fables,fusce lacus purus,Oralie Spalls,1995,Short story,English,Nepal,
597,The Little Red Hen,ut massa volutpat convallis,Sunny Storm,1992,Short story,English,Germany,magnis dis parturient montes nascetur ridiculus mus
598,The Bremen Town Musicians,non lectus aliquam sit amet diam,Gun Fosdike,2003,Short story,English,Indonesia,
599,Goldilocks and the Three Bears,aliquet pulvinar sed nisl nunc rhoncus,Blakelee Petrazzi,1992,Novel,English,Japan,vivamus vestibulum
600,The Teeny Tiny Woman,eleifend donec ut dolor morbi vel,Woodie Caven,1990,Short story,English,Germany,
601,Fractured Fairy Tales,nisi volutpat eleifend donec ut,Worth Blaby,2009,Novel,English,United States,in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla
602,Little Red Riding Hood,id massa id nisl venenatis lacinia,Zachariah Le Borgne,2002,Short story,English,Estonia,
603,The Bremen Town Musicians,non pretium quis lectus,Cory O Mullen,2001,Short story,English,Spain,morbi quis tortor id nulla ultrices
604,The Fox and the Grapes,non quam,Wilone Attarge,2001,Short story,English,Jamaica,
605,Aesops Fables,amet lobortis sapien sapien,Giulio Breslin,1985,Novel,English,Jamaica,
606,Tom Thumb,nulla suspendisse potenti cras in purus,Dion Delue,2006,Short story,English,China,magnis dis parturient montes nascetur ridiculus
607,Sleeping Beauty,risus praesent lectus vestibulum,Clem Bussy,2003,Short story,English,Barbados,
608,Jack and the Beanstalk,non mauris morbi,Ida Burgill,2011,Novel,English,Jamaica,adipiscing lorem
609,Snow White,lorem id ligula suspendisse,Jere McLeary,1998,Short story,English,Barbados,sit amet cursus id
610,Hans in Luck,erat id mauris vulputate,Margot Ritchings,2003,Novel,English,United States,varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi
611,Hansel and Gretel,nibh quisque id justo sit,Ky Trawin,1970,Novel,English,Grenada,augue luctus tincidunt nulla mollis molestie
612,Tom Thumb,primis in faucibus orci,Brook Scurr,2010,Short story,English,Portugal,mi nulla ac enim in
613,Jack and the Beanstalk,pede malesuada in imperdiet,Sheffie Snadden,2003,Novel,English,Hungary,etiam pretium iaculis justo
614,Gingerbread Man,sociis natoque penatibus,Horatia Studders,2004,Short story,English,Dominica,aliquam quis turpis eget elit sodales scelerisque mauris
615,Stone Soup,lorem vitae mattis nibh ligula nec,Alejandro Broggetti,2000,Novel,English,Hungary,
616,Jack and the Beanstalk,cubilia curae mauris viverra diam,Jorgan Ivanisov,2011,Short story,English,Germany,mattis pulvinar nulla pede ullamcorper augue
617,The Grasshopper and the Ants,vestibulum velit id pretium iaculis,Edlin Rowland,2004,Novel,English,United States,lorem quisque ut erat curabitur gravida
618,Belling the Cat,dui nec nisi,Granville Inchbald,2005,Novel,English,Jamaica,
619,Rapunzel,tempus semper,Kincaid Lansley,1992,Short story,English,Turkey,lorem ipsum
620,Gingerbread Man,nunc donec quis orci,Tamas Brundell,1995,Novel,English,United Kingdom,libero ut massa volutpat
621,Little Red Riding Hood,cursus vestibulum proin eu,Rice Keywood,2006,Novel,English,France,posuere cubilia curae donec
622,Belling the Cat,sit amet,Cherri Beetham,2011,Novel,English,Malaysia,lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit
623,Hans in Luck,velit nec nisi,Mauricio Amos,2010,Novel,English,France,
624,The Fox and the Grapes,ac enim in tempor,Curtis Lindenbaum,2011,Short story,English,Malaysia,semper rutrum
625,Hansel and Gretel,est lacinia nisi venenatis tristique fusce,Merilyn Fenich,1998,Novel,English,Haiti,diam neque vestibulum eget vulputate ut ultrices
626,The Princess and the Pea,vitae nisi nam ultrices libero,Dacia Gyles,2008,Novel,English,Thailand,
627,The Ugly Duckling,potenti nullam porttitor,Layla Torrans,1993,Novel,English,Singapore,nullam sit amet
628,The Teeny Tiny Woman,ridiculus mus,Darlleen O'Dempsey,1992,Short story,English,Estonia,quam fringilla rhoncus mauris enim leo rhoncus sed
629,The Fisherman and his Wife,tincidunt eget,Myrtle Cockayme,2006,Short story,English,Romania,sollicitudin ut suscipit a feugiat
630,Henny Penny,mattis odio donec vitae nisi nam,Delmore Nelle,1996,Novel,English,Spain,
631,Stone Soup,cum sociis natoque penatibus,Cyndi Turvey,1999,Novel,English,Nepal,
632,Belling the Cat,nisi vulputate nonummy maecenas tincidunt lacus,Conni Breston,1996,Short story,English,Jamaica,vestibulum aliquet ultrices erat tortor sollicitudin
633,Goldilocks and the Three Bears,curae mauris viverra diam vitae,Biddie Latham,2010,Short story,English,United States,sapien arcu sed augue aliquam
634,Puss in Boots,turpis integer aliquet massa id,Berkly Stanyard,2003,Novel,English,Haiti,duis at velit
635,Chicken Little,nunc proin at turpis a,Shane Valois,2011,Novel,English,Greece,
636,Trickster Tales,nibh fusce lacus purus aliquet,Giacinta Lorain,1999,Short story,English,Nepal,a ipsum integer a nibh in
637,Sleeping Beauty,ipsum primis,Peder Ayshford,2008,Novel,English,Haiti,fusce lacus purus
638,Belling the Cat,sagittis sapien cum sociis,Bart Lennie,2004,Short story,English,Germany,diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu
639,Chicken Little,eget semper rutrum nulla nunc purus,Honoria Branchet,2004,Novel,English,Hungary,sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut
640,The Teeny Tiny Woman,mus etiam vel,Octavius Colquit,1973,Novel,English,United States,mauris lacinia sapien quis libero nullam
641,Little Red Riding Hood,integer non,Lief Eyre,2011,Short story,English,Singapore,magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis
642,The Bremen Town Musicians,ultrices vel augue vestibulum ante,Krishnah Lamonby,2006,Short story,English,India,nisi at nibh in hac
643,The Teeny Tiny Woman,odio donec vitae nisi,Gilly MacCathay,2007,Novel,English,United States,velit nec
644,Puss in Boots,donec semper,Karisa Curnucke,2012,Novel,English,Vietnam,nisi vulputate nonummy
645,Snow White,sed justo,Bab Whitty,1993,Short story,English,Germany,turpis adipiscing lorem vitae mattis nibh ligula nec sem duis
646,The Fox and the Grapes,hac habitasse platea dictumst morbi vestibulum,Dedra Phizaclea,2000,Short story,English,Mexico,porttitor lacus at turpis donec posuere metus vitae
647,Ghost Stories,proin at turpis a pede posuere,Mozes Meynell,1987,Novel,English,Jamaica,amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus
648,Little Red Riding Hood,nunc donec,Bryanty Wybrow,2005,Short story,English,Norway,mi in porttitor pede justo
649,Ghost Stories,vestibulum ac est lacinia nisi venenatis,Egan Mullin,2006,Short story,English,Iceland,id mauris vulputate
650,The Ugly Duckling,sit amet cursus,Curcio Sives,1993,Novel,English,Mexico,
651,Belling the Cat,odio elementum eu interdum eu tincidunt,Ingra Grimolbie,1992,Novel,English,Turkey,volutpat erat quisque erat eros
652,Chicken Little,in purus eu,Gustie Keningham,1996,Short story,English,Nepal,suscipit nulla elit ac nulla sed vel
653,Hansel and Gretel,vestibulum quam sapien varius ut blandit,Jehu MacBean,1995,Short story,English,India,quis lectus suspendisse potenti in eleifend
654,The Teeny Tiny Woman,nulla elit ac nulla,Natividad Gerhardt,1994,Novel,English,Nepal,
655,The Town Mouse and the Country Mouse,vestibulum aliquet ultrices erat tortor,Godart Epton,1993,Short story,English,Malaysia,vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet
656,Puss in Boots,laoreet ut rhoncus aliquet,Hillie Daveren,2009,Novel,English,Turkey,quis lectus suspendisse potenti in eleifend quam a odio in
657,The Fisherman and his Wife,eget semper rutrum nulla nunc purus,Miquela Leverich,1994,Short story,English,Germany,vivamus metus arcu
658,The Bremen Town Musicians,feugiat et eros vestibulum ac est,Farlee Quinion,2006,Novel,English,Dominica,luctus nec
659,Tom Thumb,sit amet consectetuer adipiscing,Brady Kemson,2010,Novel,English,Thailand,nulla nunc purus phasellus in felis donec semper sapien a libero nam
660,Goldilocks and the Three Bears,ipsum primis in faucibus orci,Bran Hillan,1998,Novel,English,Malaysia,posuere metus vitae ipsum aliquam non mauris morbi
661,Stone Soup,ridiculus mus,Amble Geaveny,2008,Novel,English,Nepal,
662,The Town Mouse and the Country Mouse,lobortis convallis tortor risus dapibus augue,Kyrstin Tromans,1992,Short story,English,Portugal,justo in blandit ultrices enim lorem ipsum
663,The Little Red Hen,rutrum nulla nunc purus,Pepillo Maillard,1983,Short story,English,Haiti,metus arcu adipiscing molestie hendrerit
664,Belling the Cat,est congue,Clari Milligan,1997,Novel,English,Sweden,tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris
665,Rapunzel,molestie lorem quisque ut,Frederique Veysey,2005,Novel,English,Indonesia,elementum eu interdum
666,Fractured Fairy Tales,tincidunt eu,Zoe Potticary,2000,Short story,English,Portugal,aliquam quis turpis
667,Ghost Stories,duis bibendum morbi non quam,Christean Biset,1999,Short story,English,Barbados,commodo placerat praesent blandit nam nulla integer pede justo lacinia eget
668,Little Red Riding Hood,turpis sed ante vivamus,Garret Shoebotham,2008,Short story,English,Germany,porta volutpat quam pede lobortis ligula sit amet eleifend
669,The Teeny Tiny Woman,eros suspendisse,Kass Connar,1963,Short story,English,Nepal,libero quis orci nullam molestie nibh in lectus
670,Hans in Luck,convallis morbi odio odio,Thia Luffman,2000,Short story,English,Portugal,duis bibendum
671,Ghost Stories,elit ac nulla,Elonore Bowery,1995,Short story,English,France,imperdiet sapien urna pretium nisl ut volutpat sapien
