id,Tale,Title,Author,Date,Format,Language,FirstPublicationLocation,Notes
445,Brer Rabbit,orci mauris lacinia,Diego Lynas,1963,Novel,English,UK,nisl nunc nisl duis bibendum felis sed interdum
446,Fractured Fairy Tales,rutrum nulla tellus,Fleur Jamary,2007,Short story,English,UK,a pede posuere nonummy integer non velit donec diam neque
447,Sleeping Beauty,vel augue vestibulum rutrum rutrum,Wileen Pedley,2012,Novel,English,Italy,vestibulum aliquet ultrices erat tortor sollicitudin mi
448,Ghost Stories,fusce consequat nulla nisl,Lexy Skepper,2012,Short story,English,Italy,
449,The Fox and the Grapes,in libero,Egbert Westbrook,1985,Short story,English,Italy,elit proin interdum mauris non ligula pellentesque ultrices phasellus id
450,The Lion and the Mouse,lacus morbi sem mauris laoreet ut,Melanie Tivenan,2004,Novel,English,UK,
451,Seven Swabians,duis ac,Valencia Balk,1995,Novel,English,UK,
452,Seven Swabians,pellentesque at,Nico Chaff,2008,Short story,English,USA,congue diam id ornare imperdiet
453,Sleeping Beauty,pulvinar nulla pede ullamcorper augue,Constantine Terran,1992,Short story,English,Italy,lorem vitae mattis nibh
454,Stone Soup,id nisl venenatis lacinia,Paddy Strang,2008,Novel,English,USA,magna vulputate luctus cum sociis natoque
455,Jack and the Beanstalk,quis turpis eget elit,Ainsley Danick,2004,Short story,English,UK,lacus curabitur at ipsum ac
456,Hans in Luck,ullamcorper purus sit amet nulla quisque,Roddie Velez,2007,Short story,English,UK,aliquet pulvinar sed
457,Hans in Luck,nulla justo aliquam quis turpis,Mariann Clewlow,1998,Novel,English,UK,
458,Ghost Stories,lacinia sapien quis libero,Etta Avrasin,1997,Novel,English,UK,
459,The Bremen Town Musicians,eleifend quam a,Valery Lumley,2010,Short story,English,UK,congue risus semper porta volutpat quam
460,Cinderella,donec posuere metus vitae ipsum,Shandra Beaven,1999,Short story,English,UK,nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim
461,The Town Mouse and the Country Mouse,sed vestibulum sit amet,Rutledge Boman,2003,Novel,English,USA,
462,Trickster Tales,et magnis dis,Marabel Ondricek,1994,Short story,English,UK,donec semper sapien a
463,Little Red Riding Hood,tristique fusce,Shelden Duncan,1995,Novel,English,Italy,lorem ipsum
464,The Teeny Tiny Woman,mauris non ligula pellentesque ultrices,Aloysia Le Brun,2006,Novel,English,Italy,justo etiam pretium iaculis justo in hac habitasse platea dictumst
465,Henny Penny,felis sed interdum venenatis,Chad Moff,2005,Short story,English,USA,quam sollicitudin vitae consectetuer eget rutrum at lorem
466,Fractured Fairy Tales,vel ipsum praesent blandit,Curr Maylam,1995,Short story,English,Italy,in congue etiam justo etiam pretium iaculis justo in hac habitasse
467,Brer Rabbit,vitae consectetuer eget rutrum,Jemimah Lambarth,2007,Novel,English,UK,nibh in lectus pellentesque at nulla suspendisse potenti cras in purus
468,The Ugly Duckling,dapibus at diam nam,Karilynn Olner,2008,Short story,English,Italy,varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt
469,Belling the Cat,luctus tincidunt nulla mollis,Rafael Cund,1995,Novel,English,UK,odio consequat varius integer ac leo pellentesque ultrices mattis odio
470,Tom Thumb,dictumst morbi vestibulum velit,Edna Cartan,1995,Short story,English,UK,pede venenatis non
471,Jack and the Beanstalk,diam id ornare imperdiet sapien,Kellyann Spedding,2010,Short story,English,Italy,
472,The Little Red Hen,id pretium iaculis diam,Nester Cluatt,1992,Short story,English,USA,leo pellentesque ultrices mattis odio donec vitae
473,Little Red Riding Hood,nulla eget,Athene Denington,2005,Novel,English,Italy,montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus
474,The Teeny Tiny Woman,elit sodales scelerisque mauris,Charla Ohm,1967,Novel,English,UK,faucibus cursus urna ut tellus nulla ut erat id mauris
475,Tom Thumb,integer tincidunt ante vel ipsum,Cookie McRuvie,2006,Novel,English,Italy,faucibus orci
476,The Little Red Hen,fermentum donec ut,Aldon Ashling,1997,Short story,English,UK,quam sollicitudin vitae consectetuer eget rutrum at
477,Chicken Little,orci pede venenatis non sodales,Valeria Camolli,2007,Short story,English,UK,posuere cubilia curae nulla dapibus
478,Chicken Little,rhoncus aliquet,Howard Jaksic,2006,Short story,English,USA,pede libero quis orci nullam molestie
479,Puss in Boots,praesent blandit lacinia erat vestibulum sed,Teena Spaxman,2001,Short story,English,Germany,sed justo pellentesque
480,The Teeny Tiny Woman,at nulla suspendisse potenti cras in,Meier Celli,2010,Short story,English,UK,dui luctus rutrum nulla tellus in sagittis dui
481,Ghost Stories,cras pellentesque volutpat dui maecenas,Lauritz Tacker,2001,Novel,English,Italy,hac habitasse platea dictumst
482,The Ugly Duckling,libero nullam sit amet,Margie Farrell,2008,Novel,English,Italy,nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula
483,The Fox and the Grapes,justo morbi ut odio cras mi,Renado Montgomery,1997,Short story,English,Germany,sagittis nam congue risus semper porta volutpat
484,The Princess and the Pea,non mi integer,Salim Bendig,2006,Novel,English,Italy,turpis elementum ligula vehicula consequat
485,The Little Red Hen,penatibus et magnis dis,Kaleb Bedbrough,1990,Short story,English,UK,enim in tempor turpis nec euismod scelerisque
486,Rapunzel,sed accumsan,Malchy Daldan,1999,Short story,English,UK,morbi a
487,Trickster Tales,aliquam quis turpis eget elit sodales,Chris Ridde,1993,Short story,English,USA,turpis a pede posuere nonummy integer non velit donec
488,The Ugly Duckling,curabitur at ipsum ac tellus,Ag Robez,1967,Short story,English,USA,et eros vestibulum ac est lacinia nisi venenatis
489,Belling the Cat,eleifend luctus ultricies eu nibh quisque,Birdie Pendleberry,2007,Novel,English,UK,felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet
490,Puss in Boots,rhoncus sed vestibulum,Cletis Monelle,1998,Novel,English,Germany,ipsum integer a nibh in quis justo maecenas rhoncus aliquam
491,Stone Soup,sollicitudin ut suscipit a feugiat et,Kirbee O'Dowling,2008,Short story,English,UK,
492,Trickster Tales,amet consectetuer adipiscing elit proin,Jaimie Brackley,1999,Novel,English,UK,
493,Chicken Little,ut dolor morbi vel,Hyatt Caddick,2003,Novel,English,Germany,bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu
494,The Bremen Town Musicians,semper est quam,Nichole Lowy,1999,Short story,English,UK,ut erat
495,The Princess and the Pea,orci luctus et ultrices posuere,Yvor Aluard,1997,Novel,English,Germany,convallis duis consequat dui nec nisi volutpat
496,Aesops Fables,imperdiet sapien urna pretium,Kellsie Stones,2009,Short story,English,Italy,
497,Seven Swabians,turpis adipiscing,Jan Beagley,2005,Short story,English,UK,pulvinar lobortis est
498,Goldilocks and the Three Bears,sapien cum,Dodie Jaulmes,1987,Novel,English,Germany,
499,Goldilocks and the Three Bears,amet nunc viverra,Karon Leebetter,2004,Short story,English,UK,eget tempus vel pede morbi
500,Puss in Boots,diam id,Bax Crux,1995,Short story,English,USA,
501,Hansel and Gretel,risus semper porta volutpat quam,Muffin Ducroe,1987,Novel,English,Italy,parturient montes nascetur ridiculus mus vivamus
502,The Fox and the Grapes,rutrum nulla,Gertie Feveryear,2012,Short story,English,Italy,eget tempus vel pede morbi porttitor
503,Brer Rabbit,morbi porttitor,Oby Imloch,2009,Novel,English,Italy,diam cras pellentesque volutpat dui maecenas tristique est et
504,Tom Thumb,in faucibus,Basil Tickner,2008,Novel,English,Germany,
505,The Town Mouse and the Country Mouse,nisi vulputate nonummy maecenas,Shep De Gregoli,1986,Short story,English,Germany,at feugiat non pretium quis lectus suspendisse potenti
506,Henny Penny,vel nulla eget eros,Maryjo Aspray,2000,Novel,English,Germany,convallis nunc proin at turpis a pede posuere nonummy integer non
507,The Princess and the Pea,nunc purus,Jeno Scholefield,2010,Novel,English,USA,condimentum curabitur in libero
508,Fractured Fairy Tales,ac est,Eda Sherme,1998,Short story,English,USA,erat fermentum justo nec
509,The Ugly Duckling,etiam faucibus cursus,Darn McFall,1994,Novel,English,Germany,elementum pellentesque quisque porta
510,Hansel and Gretel,sem praesent id massa id,Emmerich Gabbatt,1999,Short story,English,UK,sem sed sagittis
511,Sleeping Beauty,fermentum donec,Margo Dowthwaite,2010,Short story,English,Italy,semper rutrum nulla
512,Belling the Cat,sed magna at nunc commodo,Reuben Werrilow,2000,Novel,English,Italy,quam sollicitudin vitae consectetuer eget rutrum at lorem
513,The Bremen Town Musicians,vulputate nonummy maecenas,Juliet Davies,1984,Short story,English,UK,tortor sollicitudin mi sit amet lobortis sapien
514,Puss in Boots,ipsum dolor,Kimble Ferry,1998,Novel,English,Italy,penatibus et magnis dis parturient montes nascetur ridiculus mus
515,Goldilocks and the Three Bears,aliquam sit amet diam in magna,Johnny Hulson,2009,Novel,English,Italy,id ornare imperdiet sapien urna pretium nisl
516,Little Red Riding Hood,at dolor quis odio,Francis Dotson,1985,Short story,English,UK,hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt
517,The Lion and the Mouse,ipsum primis in faucibus orci,Renata Verey,1993,Short story,English,UK,vitae quam suspendisse potenti nullam porttitor lacus
518,Chicken Little,rutrum nulla tellus in sagittis dui,Christie Whichelow,1998,Novel,English,UK,odio cras mi pede malesuada in imperdiet et commodo vulputate
519,Belling the Cat,in tempor turpis nec,Blanca Crecy,2002,Short story,English,Italy,magna vestibulum
520,Goldilocks and the Three Bears,sociis natoque penatibus et,Tadio De Carteret,1998,Short story,English,UK,ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc
521,The Fox and the Grapes,praesent lectus vestibulum quam,Giovanna Cullen,1993,Short story,English,UK,ultrices posuere cubilia curae
522,Stone Soup,mauris non,Ainslie Threadgill,2008,Short story,English,Germany,ante vestibulum ante ipsum
523,Hansel and Gretel,malesuada in imperdiet et commodo,Ayn Tremoille,2002,Short story,English,France,semper rutrum nulla nunc
524,Chicken Little,luctus nec molestie sed justo,Lamar McCaughan,2007,Novel,English,Germany,ac consequat metus sapien ut nunc vestibulum ante ipsum primis
525,Rapunzel,ornare imperdiet sapien urna,Cherida Niland,1988,Novel,English,UK,cursus id turpis integer aliquet massa id lobortis convallis tortor
526,The Lion and the Mouse,a feugiat et,Bonny Lowdwell,1987,Short story,English,USA,iaculis justo in hac habitasse platea dictumst etiam faucibus cursus
527,The Ugly Duckling,suscipit ligula in lacus curabitur at,Gael Dowsing,2002,Short story,English,USA,lacinia aenean sit amet justo morbi
528,The Town Mouse and the Country Mouse,nisl nunc nisl,Genny Murt,2011,Short story,English,UK,massa id lobortis
529,Trickster Tales,cum sociis natoque penatibus,Frederique Sissens,1985,Short story,English,USA,mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc
530,Seven Swabians,ut volutpat sapien,Nerte Gerrelts,2009,Novel,English,UK,
531,The Bremen Town Musicians,mi pede malesuada in,Fitzgerald Riccardelli,1994,Short story,English,UK,
532,Sleeping Beauty,lacus morbi sem mauris,Dacy Carswell,1997,Novel,English,UK,id nulla ultrices aliquet maecenas leo odio condimentum id
533,Henny Penny,mauris lacinia sapien,Edy Currey,1996,Short story,English,Germany,bibendum imperdiet
534,Snow White,sed vel enim sit,Aguste Kingsbury,1996,Short story,English,USA,justo pellentesque viverra pede
535,Little Red Riding Hood,tempus vivamus in felis eu,Agosto Jenyns,2006,Short story,English,UK,
536,Ghost Stories,ipsum praesent blandit lacinia erat vestibulum,Margaret Fildes,2006,Short story,English,UK,eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet
537,Trickster Tales,nisl duis bibendum felis sed,Erin Dullaghan,1994,Novel,English,France,aenean sit amet justo morbi ut odio cras mi pede
538,Belling the Cat,eget tincidunt,Paulie Carress,1993,Novel,English,France,
539,The Princess and the Pea,convallis nunc proin at,Teressa Hauxby,2009,Short story,English,Germany,non velit donec
540,Hans in Luck,lorem integer tincidunt ante vel,Gerik Giannasi,2011,Short story,English,UK,
541,Cinderella,elementum eu,Mohandas Petri,1998,Short story,English,UK,nec dui luctus
542,Henny Penny,ut rhoncus aliquet pulvinar sed,Loretta Ballinghall,2012,Short story,English,UK,sociis natoque penatibus et magnis dis parturient montes nascetur
543,The Lion and the Mouse,pede libero quis orci nullam molestie,Ardra Sattin,2006,Short story,English,France,
544,Cinderella,eget eros elementum pellentesque,Cinnamon Witul,2012,Novel,English,France,
545,Belling the Cat,mattis nibh ligula nec sem,Laney Braghini,1999,Novel,English,Germany,aliquet maecenas leo odio condimentum id luctus
546,The Lion and the Mouse,pharetra magna vestibulum aliquet ultrices erat,Billy Gerbl,1992,Short story,English,Germany,proin eu mi nulla ac
547,The Fisherman and his Wife,ridiculus mus,Philis Jex,1994,Novel,English,France,ac nulla sed vel enim
548,The Bremen Town Musicians,parturient montes,Terrance Jacquemy,1997,Short story,English,Germany,leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus
549,The Teeny Tiny Woman,dis parturient montes nascetur ridiculus mus,Augy Dilley,1992,Novel,English,France,nisi venenatis tristique fusce congue
550,Sleeping Beauty,cras in purus eu magna vulputate,Aretha Levet,2005,Novel,English,UK,nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis
551,Henny Penny,leo maecenas pulvinar lobortis,Basil Rikel,1987,Novel,English,UK,consequat morbi a ipsum integer a
552,The Grasshopper and the Ants,interdum venenatis turpis enim blandit mi,Sergio Belton,1991,Short story,English,UK,dui proin leo odio porttitor id consequat in consequat ut
553,Gingerbread Man,pede posuere nonummy integer,Charlene Perazzo,2000,Short story,English,France,elementum ligula vehicula consequat morbi a ipsum integer a
554,Hansel and Gretel,in faucibus orci luctus,Reeba Poulett,2006,Short story,English,Germany,vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id
555,Sleeping Beauty,ipsum ac tellus semper interdum,Aldon Stollenberg,2006,Short story,English,France,
556,The Lion and the Mouse,consequat dui nec nisi volutpat eleifend,Dorry Nitto,1985,Short story,English,USA,
557,Jack and the Beanstalk,diam cras pellentesque,Daryle Duberry,2007,Novel,English,France,donec posuere metus vitae ipsum aliquam non mauris morbi non lectus
558,The Teeny Tiny Woman,turpis eget elit sodales,Ferdinand Bartolomucci,2009,Short story,English,UK,
559,Belling the Cat,iaculis diam erat,Rhoda McCarrison,1997,Short story,English,USA,in hac habitasse platea dictumst maecenas ut massa quis augue luctus
560,Trickster Tales,tempus sit amet sem,Jerrilee Morcombe,2012,Novel,English,France,tortor risus dapibus augue vel accumsan tellus nisi
561,Puss in Boots,congue etiam,Winny McCarlich,1995,Novel,English,France,nulla nunc purus
562,Sleeping Beauty,nibh in hac,Colette Dagworthy,1999,Short story,English,France,
563,The Lion and the Mouse,ultrices aliquet maecenas leo odio,Trueman Newis,1990,Short story,English,Germany,eget massa tempor convallis nulla neque libero convallis
564,Little Red Riding Hood,luctus ultricies eu nibh quisque id,Olin Inett,2002,Novel,English,Germany,suspendisse potenti in eleifend quam a odio in hac habitasse
565,Cinderella,suscipit ligula in lacus,Kirbee Jamrowicz,2007,Short story,English,UK,
566,The Little Red Hen,nam tristique tortor eu,Jessey Deverell,2008,Short story,English,UK,
567,The Fox and the Grapes,primis in faucibus orci luctus,Zacharia Siemons,2013,Short story,English,UK,sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut
568,Brer Rabbit,eget tempus vel pede morbi,Sissy Dorkins,2000,Short story,English,UK,sapien cum sociis natoque penatibus et magnis dis parturient montes
569,Tom Thumb,tristique est et,Wolfie Copnell,1998,Short story,English,Germany,ac tellus semper interdum
570,Jack and the Beanstalk,augue vestibulum rutrum rutrum,Prince Oddboy,1991,Short story,English,USA,sem praesent id massa id nisl venenatis
571,Aesops Fables,platea dictumst morbi vestibulum velit,Dell Dick,2011,Novel,English,Germany,vel dapibus at diam nam
572,Stone Soup,nulla facilisi cras non velit nec,Keelia Sugarman,2011,Novel,English,USA,at velit eu est congue elementum in hac habitasse platea dictumst
573,The Fisherman and his Wife,fringilla rhoncus mauris,Fran Grimolbie,2010,Novel,English,USA,venenatis lacinia aenean sit amet justo morbi
574,Trickster Tales,elit proin interdum mauris,Seline Ferry,1996,Short story,English,Germany,nullam sit amet turpis elementum ligula vehicula
575,Chicken Little,ut mauris eget massa tempor,Mable Egiloff,2006,Novel,English,UK,erat eros viverra eget congue eget
576,The Town Mouse and the Country Mouse,sed justo pellentesque viverra,Sharia Kennler,1990,Novel,English,UK,
577,Aesops Fables,non velit donec diam,Virginia Decourcy,2009,Novel,English,France,
578,Snow White,donec diam neque vestibulum eget,Rory Girke,2011,Short story,English,Germany,
579,Chicken Little,pulvinar nulla,Paxon Grinaugh,1992,Novel,English,Germany,cursus urna ut tellus nulla ut erat id mauris vulputate elementum
580,Aesops Fables,consequat dui nec nisi volutpat,Giacopo Butterfint,1998,Novel,English,UK,
581,Rapunzel,sociis natoque penatibus et magnis dis,Conant Tribell,1986,Novel,English,UK,pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue
582,The Princess and the Pea,rutrum rutrum neque,Noell Iredale,2002,Novel,English,USA,nulla justo
583,Goldilocks and the Three Bears,metus vitae ipsum aliquam non,Glynis Duffet,2007,Novel,English,France,sed tristique in tempus sit amet sem fusce consequat nulla nisl
584,Cinderella,pellentesque viverra pede ac diam cras,Pierson Chalkly,2004,Novel,English,USA,
585,Seven Swabians,rhoncus sed vestibulum sit amet,Josephine Cabell,2012,Short story,English,Germany,
586,Belling the Cat,at feugiat non pretium quis lectus,Mary Blatcher,2000,Short story,English,Germany,vulputate nonummy
587,Jack and the Beanstalk,nunc commodo placerat praesent blandit nam,Eddy Lushey,2010,Short story,English,UK,ligula nec sem duis aliquam convallis nunc proin at turpis a
588,The Lion and the Mouse,in est risus,Francyne Giacomelli,2008,Short story,English,USA,posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat
589,The Teeny Tiny Woman,lacus at turpis donec,Georgeanna Piser,1993,Short story,English,USA,vulputate luctus cum sociis natoque penatibus
590,Rapunzel,nec nisi,Mikol Cradick,2008,Novel,English,UK,vel accumsan tellus nisi eu orci mauris
591,Brer Rabbit,morbi quis tortor id nulla ultrices,Donetta Madgin,2000,Novel,English,UK,ridiculus mus vivamus vestibulum sagittis
592,The Grasshopper and the Ants,enim in tempor turpis nec euismod,Mace Reeman,1992,Short story,English,France,sit amet erat nulla tempus vivamus in felis
593,The Town Mouse and the Country Mouse,erat eros viverra eget congue,Blakelee Curton,2005,Novel,English,Germany,aenean auctor gravida sem praesent
594,Sleeping Beauty,ultrices mattis odio,Kissee Skeete,2011,Short story,English,France,in sapien iaculis congue vivamus metus
595,The Fisherman and his Wife,etiam pretium iaculis justo in,Helsa Sirman,2002,Short story,English,UK,vitae nisi nam ultrices libero non mattis pulvinar nulla
596,Tom Thumb,quis augue,Orelia Poser,2010,Novel,English,USA,cursus id turpis integer aliquet massa id lobortis convallis tortor
597,The Grasshopper and the Ants,orci luctus et ultrices,Jacquenetta Sheridan,2005,Short story,English,UK,vehicula consequat morbi a ipsum integer
598,Snow White,etiam justo etiam,Ainslee Whetland,2009,Short story,English,USA,odio porttitor id consequat in
599,Chicken Little,morbi sem mauris laoreet ut,Susana Gosnall,2011,Novel,English,UK,sapien arcu sed
600,Cinderella,consectetuer adipiscing elit proin interdum mauris,Margarita Fochs,1999,Novel,English,UK,sed interdum venenatis turpis enim blandit mi
601,Tom Thumb,at turpis a pede posuere nonummy,Egan Rosenbusch,2008,Short story,English,USA,at vulputate vitae nisl aenean lectus pellentesque eget
602,Goldilocks and the Three Bears,mauris eget massa tempor convallis,Helen Davio,1995,Short story,English,UK,dictumst maecenas ut massa quis
603,Snow White,bibendum morbi non quam nec,Stirling Callan,1992,Novel,English,UK,elementum in hac habitasse platea
604,The Bremen Town Musicians,amet consectetuer adipiscing,Daryl Noe,1993,Novel,English,Germany,
605,The Fisherman and his Wife,lorem quisque ut erat,Tara Clancy,1992,Short story,English,Germany,placerat praesent blandit nam nulla integer
606,Little Red Riding Hood,nec nisi vulputate,Weston Rastrick,2003,Novel,English,France,
607,Puss in Boots,aliquam convallis nunc proin at turpis,Kissiah O'Dea,1999,Short story,English,Germany,
608,Tom Thumb,lectus in quam fringilla rhoncus,Philomena Maun,2004,Short story,English,USA,nulla facilisi
609,Brer Rabbit,imperdiet et commodo,Karlie Heggison,2006,Novel,English,France,adipiscing elit proin risus
610,Brer Rabbit,risus semper,Aluin Menilove,2012,Short story,English,UK,
611,The Little Red Hen,cum sociis natoque,Thaxter Collabine,1995,Novel,English,UK,posuere felis sed lacus
612,Brer Rabbit,odio justo sollicitudin ut suscipit,Jane Sancroft,2006,Novel,English,USA,ligula in lacus curabitur at ipsum ac tellus semper interdum mauris
613,The Fox and the Grapes,consequat nulla nisl,Emile Munford,2002,Short story,English,France,enim in tempor
614,The Fisherman and his Wife,quam fringilla rhoncus,Marleah Belshaw,2011,Short story,English,USA,sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula
615,Goldilocks and the Three Bears,in tempor turpis,Kimberlyn Jentle,1995,Short story,English,France,
616,Snow White,massa id lobortis convallis tortor,Mateo Moodey,2011,Short story,English,Germany,
617,Stone Soup,primis in faucibus orci,Krissie Havercroft,1993,Short story,English,France,lacinia eget tincidunt eget tempus
618,Brer Rabbit,non velit nec nisi vulputate nonummy,Shea Vauter,2008,Novel,English,USA,quis lectus suspendisse potenti in eleifend quam
619,Stone Soup,massa quis augue luctus,Lark Byrcher,2005,Short story,English,UK,sed augue aliquam erat volutpat in
620,The Fox and the Grapes,in faucibus orci luctus,Callie Renish,2010,Novel,English,France,magna vestibulum
621,The Teeny Tiny Woman,ultrices phasellus id sapien,Godwin Clitsome,2005,Novel,English,Germany,lorem integer tincidunt ante vel ipsum
622,Belling the Cat,aliquam augue quam sollicitudin,Janeta Danihelka,1989,Short story,English,UK,suscipit nulla elit ac nulla
623,Stone Soup,orci pede venenatis non sodales,Saundra Hasted,2001,Novel,English,USA,turpis integer aliquet massa id lobortis
624,The Town Mouse and the Country Mouse,justo sit amet sapien,Sianna Clewarth,2012,Novel,English,France,
625,The Bremen Town Musicians,ligula nec sem duis aliquam,Hyacinth Belderson,2005,Short story,English,UK,
626,Gingerbread Man,sapien urna pretium,Bald Jillis,1997,Short story,English,UK,natoque penatibus et magnis
627,The Princess and the Pea,vulputate justo in blandit ultrices,Nanete Skala,2003,Novel,English,France,vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed
628,Snow White,felis ut at dolor,Darb Vooght,1994,Novel,English,UK,sit amet
629,Goldilocks and the Three Bears,ultrices aliquet maecenas leo odio,Allis O'Halleghane,1997,Short story,English,France,suscipit a feugiat et eros vestibulum ac
630,The Teeny Tiny Woman,id justo,Jade Brun,1986,Short story,English,UK,
631,Seven Swabians,dolor vel est donec odio,Aguie Whitter,1986,Novel,English,France,quis turpis
632,The Princess and the Pea,nulla pede ullamcorper augue a suscipit,Miller Cruse,1997,Novel,English,France,sit amet eros suspendisse accumsan tortor quis turpis
633,The Teeny Tiny Woman,maecenas tincidunt lacus at velit,Nisse Mattersley,1995,Novel,English,UK,ut dolor morbi vel
634,Stone Soup,mauris morbi non lectus,Beverie Ridd,2004,Novel,English,UK,phasellus sit amet erat nulla tempus vivamus in felis eu sapien cursus
635,Hansel and Gretel,metus aenean fermentum donec ut,Jermain Logsdale,1989,Novel,English,USA,mauris sit amet eros suspendisse accumsan tortor quis turpis
636,Chicken Little,morbi ut odio,Ogden Caddens,1992,Novel,English,USA,mauris enim leo
637,Aesops Fables,quam sapien varius ut blandit,Dillie Eiler,1992,Novel,English,UK,
638,Fractured Fairy Tales,ultrices phasellus id sapien in,Lora Kroch,1991,Novel,English,UK,adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut
639,The Grasshopper and the Ants,turpis eget elit sodales scelerisque,Fairleigh Gadesby,1994,Short story,English,Germany,quam pharetra magna ac consequat metus sapien ut nunc vestibulum
640,Cinderella,penatibus et magnis,Lilllie Gouldbourn,1995,Short story,English,France,posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat
641,Belling the Cat,vitae nisl aenean lectus pellentesque eget,Lowrance Aulton,1987,Short story,English,UK,
642,Goldilocks and the Three Bears,luctus tincidunt nulla mollis,Kliment McKinless,2002,Novel,English,UK,justo maecenas rhoncus aliquam lacus morbi quis tortor id
643,Puss in Boots,praesent blandit,Renard Glassford,2011,Novel,English,UK,blandit ultrices enim lorem ipsum dolor sit
644,Hansel and Gretel,luctus et ultrices posuere,Alika Cosstick,1991,Short story,English,UK,
645,Rapunzel,purus phasellus in felis,Nari Wolver,1992,Short story,English,Germany,morbi non quam nec dui luctus rutrum
646,Ghost Stories,faucibus orci,Elsi Gouldthorp,2002,Short story,English,UK,
647,Henny Penny,nibh quisque id justo,Antoinette Morais,2004,Novel,English,UK,ut suscipit a feugiat et eros vestibulum
648,Seven Swabians,convallis eget eleifend,Standford Bowick,1991,Short story,English,USA,convallis duis consequat dui nec nisi volutpat eleifend donec ut
649,Sleeping Beauty,pharetra magna vestibulum aliquet ultrices,Kristoforo Cousens,1995,Short story,English,Germany,luctus et ultrices posuere cubilia curae duis faucibus
650,The Fox and the Grapes,erat curabitur gravida nisi,Amye Bales,2002,Novel,English,USA,tellus nisi eu orci mauris lacinia
651,Ghost Stories,sociis natoque penatibus et magnis dis,Ole Bletso,2000,Novel,English,USA,penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus
652,Stone Soup,aliquam sit,Carin Dondon,1999,Novel,English,Germany,in ante vestibulum ante ipsum primis
653,The Princess and the Pea,hac habitasse platea dictumst maecenas,Mariele Stive,1998,Novel,English,UK,
654,Chicken Little,justo aliquam quis turpis eget,Beck Hodcroft,2010,Short story,English,UK,elit proin interdum mauris non ligula
655,Rapunzel,sapien a,Dory Barraclough,1986,Short story,English,UK,ligula sit amet
656,Ghost Stories,parturient montes nascetur ridiculus mus vivamus,Constancia Pott,2004,Short story,English,UK,sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia
657,The Lion and the Mouse,porttitor lacus at turpis donec posuere,Sonja Thorouggood,1997,Novel,English,UK,sociis natoque penatibus et magnis dis parturient montes nascetur
658,Goldilocks and the Three Bears,sagittis dui vel,Cassandre Orta,2005,Short story,English,France,in hac habitasse platea dictumst maecenas ut massa quis augue
659,The Princess and the Pea,eleifend pede libero quis orci,Kai MacMillan,2007,Short story,English,UK,consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus
660,Trickster Tales,ultrices aliquet maecenas leo,Courtney Oxshott,1994,Short story,English,France,
661,The Grasshopper and the Ants,nulla elit ac nulla sed,Abe Skeels,2010,Short story,English,UK,
662,Cinderella,morbi ut odio,Yardley Herrieven,2006,Short story,English,UK,in hac habitasse platea dictumst morbi vestibulum
663,Henny Penny,rhoncus aliquet,Agathe Spain,2007,Novel,English,USA,quis turpis eget elit sodales scelerisque mauris
664,Chicken Little,vestibulum ac,Mallorie Dadge,2007,Short story,English,UK,ut erat
665,Fractured Fairy Tales,in ante,Angelica Clacey,2006,Novel,English,UK,ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus
666,Fractured Fairy Tales,nisl ut volutpat sapien,Ricky De Marchi,2008,Novel,English,USA,ac lobortis
667,Snow White,eget vulputate,Denis Barham,2001,Novel,English,UK,leo odio porttitor id consequat in consequat ut nulla sed accumsan felis
668,Rapunzel,volutpat eleifend donec ut dolor,Morna Kingswoode,2006,Novel,English,France,in hac habitasse platea
669,Gingerbread Man,in hac habitasse platea,Sky Duckinfield,1985,Novel,English,UK,
670,Brer Rabbit,aliquam convallis,Orelle Senton,2004,Short story,English,USA,ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut
671,Ghost Stories,nisi vulputate nonummy,Essie Ravenhill,2002,Short story,English,Germany,
